Company Name, Telephone, Email, Website
PHU AN ,  08.8995167; Mobile: 0903656151, trienluu@yahoo.com, NaN
LONG DINH Co.Ltd,  84.8.8163554 , longdinh@hcm.vnn.vn, http://www.longdinh.com/
Thuan Hoa Enterprise,  075.840240 -0909339334, buoibr99daxanh@yahoo.com, NaN
Director : Mr. Nguyen Ba Tri, 08-8304885/8352741, hungtri@hcm.vnn.vn, http://www.hungtri.com/
My Chau  Printing and packaging Joint Stock Co. , 9612844 -9612734 -8586240, mychauco@hcm.vnn.vn, NaN
SanNam Foodstuff Joint stock Co., 04 7642569 |  048374486, sannamfood@sannamfood.com, http://www.sannamfood.com/
HoChiMinhCity  Plant Co. (HPC),  08.7661280. 7661283, caytrongtp@yahoo.com, NaN
Chairman: Pham Dinh Khang,  7290880, thuducagromarket@hcm.vnn.vn, http://www.thuducgromarket.com/
Hoa An Trading Co.,  0320 850456 . 04 9361252, trading@hoaanjsc.com.vn, http://www.hoaanjsc.com.vn/
Viet Xo Joint Stock Co.,  031.842448 , vietxoco@vnn.vn, NaN
Director: Nguyen Huu Cuong,  04.6622168, tam389@hn.vnn.vn, NaN
Agricultural Exhibition Marketing &Rural development Center(VAFEC),  (04)7540 130, director@vafec.com.vn, http://www.wafec.com.vn/
THAO BO Co.,  2941084, thaobotradingcompany@yahoo.com, NaN
LAM DONG Agricultural& Foodstuff  Joint Stock Co.Director : Pham Van PhungFresh fruit &  freeze processing .,  , dalatf.v@hcm.vnn.vn, http://www.agrifoods.com/
Fruits &Greens Co.Director :Do Thi Minh TuyenDragon fruit   Japanese  sweet potatoe chiku (sapo) Export.,  -062823731, fruits-green@hcm.vnn.vn, NaN
SATRA TIEN GIANG CO.LtdDirector :Huynh Kim Quang.Vegetable .fruit Trading., 073.753775 -753776-753778, kimquang@satio.com.vn, NaN
Cao Lanh  mango production &Consumption  CooperativeHead of cooperative :Nguyen Van Be TuMango growing., 067.910996 . 0908464111, Longkimdt@yahoo.com, NaN
DONG THAP Wholesales MaketDirector:Huynh Thanh HongFruit Market .,  067 912515 . 0913687100, NaN, NaN
Farm Advising & Managing CO.LtdDirector: Tran Thi Kim Thuy,  08.9608144, ontra@ontra.com.vn, NaN
HOANG LONG Co.Director:Tran Huu DanhDragon fruit export .,  84-072-878058, tranhoanglongtg@yahoo.com, NaN
DONG GIAO Exprot Foostuff CO.Director : OÂ.Dinh Cao Khue,  030 864086, NaN, NaN
GraincoGrainco im&ex joint stoctcompany,  8234058, grainco@hcm.vnn.vn, NaN
HOA LOC CooperativeHead of cooperative :Nguyen Thanh NhonMango growing., 073.817998  |  0919592221, hoptacxahoaloc@hopthu.com, NaN
